id,src_ip,dest_ip,pkts_toserver,pkts_toclient,bytes_toserver,bytes_toclient,start,end
2132184214371600,192.168.100.201,104.156.84.32,1,1,95,156,1693307569.556304,1693307569.651298
1991558418353021,fe80:0000:0000:0000:66a3:14e0:3abe:3120,ff02:0000:0000:0000:0000:0000:0000:00fb,2,0,210,0,1693307923.543613,1693307924.539237
443669361470756,192.168.100.201,130.59.31.43,1,1,79,520,1693307568.208164,1693307568.485835
1710538689564410,192.168.100.201,104.90.5.23,1,1,97,241,1693307639.216826,1693307639.354875
162817155013046,192.168.100.201,108.59.162.136,1,1,85,172,1693307568.596406,1693307568.788326
1570209218446490,192.168.100.201,108.59.161.136,1,1,89,261,1693307568.86953,1693307569.058969
1362861114059246,10.10.39.166,224.0.0.251,3,0,246,0,1693308052.190958,1693308055.207271
1073285829028467,fe80:0000:0000:0000:d99d:e49f:3373:79f8,ff02:0000:0000:0000:0000:0000:0000:00fb,3,0,306,0,1693308052.191091,1693308055.20735
1852066447277899,192.168.100.201,192.203.230.10,1,1,73,540,1693307568.114507,1693307568.208041
444786052982435,192.168.100.201,108.59.164.136,1,1,89,261,1693307568.878243,1693307569.070903
1852268310745069,192.168.100.201,194.146.106.10,1,1,79,193,1693307568.315373,1693307568.660599
1290598266673715,192.168.100.201,142.250.201.131,9,10,2731,4616,1693307707.563763,1693307707.907229
1291341286931741,192.168.100.201,108.59.164.136,1,1,89,249,1693307568.785693,1693307568.977774
24879985339862,192.168.100.201,130.59.31.41,1,1,77,191,1693307568.208342,1693307568.489047
1292260409874528,192.168.100.201,194.0.25.39,1,1,79,205,1693307568.596064,1693307568.698815
1855450902001410,10.10.39.138,10.10.39.255,1,0,255,0,1693307881.882434,1693307881.882434
1856185339672089,fe80:0000:0000:0000:3d4d:9489:453d:fc59,ff02:0000:0000:0000:0000:0000:0000:00fb,2,0,210,0,1693307854.456217,1693307855.455853
1011850585151634,192.168.100.201,108.59.164.136,1,1,89,261,1693307569.17013,1693307569.360649
730560296606535,192.168.100.201,95.100.168.194,1,1,92,158,1693307639.088903,1693307639.306966
